ponto,banda,rssi,d,obst,canal,melhor,pct,andar,livre
1,2.4,-60,8.5,"Parede, porta",1,6,35,1o,False
2,2.4,-30,1.0,Nenhum,6,6,15,1o,True
3,2.4,-33,1.0,Nenhum,13,13,6,1o,True
4,2.4,-49,4.0,Nenhum,1,1,25,1o,True
5,2.4,-70,6.0,"Parede, porta incendio",6,1,46,1o,False
6,2.4,-46,4.0,Parede/porta,1,6,23,Terreo,False
7,2.4,-25,1.0,Nenhum,1,6,0,Terreo,True
8,2.4,-28,1.0,Nenhum,6,6,0,Terreo,True
9,2.4,-37,3.0,Nenhum,1,6,0,Terreo,True
10,2.4,-58,6.0,Parede/porta metalica,1,11,42,Terreo,False
11,2.4,-37,2.0,Nenhum,1,11,8,Terreo,True
12,2.4,-46,4.0,Parede/porta,11,6,9,Subsolo,False
13,2.4,-40,1.0,Nenhum,1,11,29,Subsolo,True
14,2.4,-44,1.0,Nenhum,1,11,50,Subsolo,True
15,2.4,-60,15.0,Nenhum,11,6,4,Subsolo,True
16,2.4,-68,18.0,Parede/porta metalica,1,6,48,Subsolo,False
17,2.4,-37,3.0,Nenhum,1,6,7,Subsolo,True
18,5.0,-62,4.0,Parede/porta,36,100,100,1o,False
19,5.0,-59,1.0,Nenhum,52,100,100,1o,True
20,5.0,-58,1.0,Nenhum,157,140,100,1o,True
21,5.0,-52,3.0,Nenhum,132,108,100,1o,True
23,5.0,-52,4.0,Parede/porta,157,100,32,Terreo,False
24,5.0,-51,1.0,Nenhum,116,124,100,Terreo,True
25,5.0,-53,1.0,Nenhum,116,52,100,Terreo,True
26,5.0,-53,3.0,Nenhum,157,116,100,Terreo,True
27,5.0,-46,4.0,Parede/porta,52,116,100,Subsolo,False
28,5.0,-59,1.0,Nenhum,52,100,100,Subsolo,True
29,5.0,-38,1.0,Nenhum,52,116,100,Subsolo,True
30,5.0,-50,3.0,Nenhum,52,116,100,Subsolo,True
