id,predio,pavimento,banda,rssi_dbm,canal_usado,canal_melhor,pct_melhor_canal,dist_campo_m,dist_origem,dist_ap_conectado_m,x_m,y_m,bssid_bruto,altura_medicao_m,obstaculos,obstaculos_registrado,local,datahora,obs_campo
1,M,1,2.4,-60,1,6,35,8.5,planta,,,,,,"Parede, porta",,Fundo da M102,2026-08-07T10:52:51,"Distancia anotada em campo como faixa '~7-10 m'; 8,5 m e o ponto medio da faixa."
2,M,1,2.4,-30,6,6,15,1.0,planta,,,,,,Nenhum,,Abaixo do AP1,2026-08-07T10:57:33,"Anotado em campo como '< 1 m'. Em pe os valores chegavam proximos de -30 dBm; no chao, proximos de -45 dBm. Altura da medicao nao registrada."
3,M,1,2.4,-33,13,13,6,1.0,planta,,,,,,Nenhum,,Abaixo do AP2,2026-08-07T11:04:02,"Anotado em campo como '< 1 m'. pct anotado como '6%, 100%' (dois valores); adotado 6% para 2.4 GHz. O dispositivo migrou automaticamente para 5 GHz no canal 100 (band steering)."
4,M,1,2.4,-49,1,1,25,4.0,planta,,,,,,Nenhum,,Janela/bebedouro,2026-08-07T11:09:37,
5,M,1,2.4,-70,6,1,46,6.0,planta,,,,,,"Parede, porta de incendio",,Escada de incendio,2026-08-07T11:13:37,
6,M,0,2.4,-46,1,6,23,4.0,planta,,,,,,Parede/porta,,Sala entre AP1 e AP2,2026-08-07T11:17:00,
7,M,0,2.4,-25,1,6,0,1.0,planta,,,,e0:10:7f:3d:ea:78,,Nenhum,,Abaixo do AP1,2026-08-07T11:20:00,
8,M,0,2.4,-28,6,6,0,1.0,planta,,,,e0:10:7f:3c:c6:68,,Nenhum,,Abaixo do AP2,2026-08-07T11:22:00,
9,M,0,2.4,-37,1,6,0,3.0,planta,,,,,,Nenhum,,Entrada,2026-08-07T11:26:00,
10,M,0,2.4,-58,1,11,42,6.0,planta,,,,,,Parede/porta metalica,,Escada,2026-08-07T11:29:00,"Observacao geral da campanha: em quase todos os pontos de 2.4 GHz o melhor canal nao esta sendo aproveitado."
11,M,0,2.4,-37,1,11,8,2.0,planta,,,,,,Nenhum,,Meio (entre os dois APs),2026-08-07T11:31:00,
12,M,-1,2.4,-46,11,6,9,4.0,planta,,,,e0:10:7f:3c:c6:68,,Parede/porta,,Sala entre AP1 e AP2,2026-08-07T11:34:00,
13,M,-1,2.4,-40,1,11,29,1.0,planta,,,,84:18:3a:30:e1:48,,Nenhum,,Abaixo do AP2,2026-08-07T11:36:00,
