ponto_id,bloco,andar,local,x,y,banda_ghz,rssi_dbm,snr_estimado_db,canal,canal_melhor,qualidade_melhor_canal_pct,redes_vizinhas_mesmo_canal,distancia_ao_ap,distancia_registrada,distancia_normalizada,obs_campo,obstaculos,obstaculo_registrado,obstaculo_reclassificado,sem_obstaculo,throughput_tcp_mbps,throughput_udp_mbps,latencia_media_ms,perda_pacotes_pct
I-31,I,1o,Fundo do corredor,,,2.4,-55,40.0,6,1,37,,6,6,False,,Nenhum,Nenhum,False,True,,,,
I-32,I,1o,Abaixo do AP2,,,2.4,-33,62.0,11,1,29,,1,0,True,"d registrado como 0 m (sob o AP); tratado como d0=1 m, criterio do Bloco M",Nenhum,Nenhum,False,True,,,,
I-33,I,1o,Abaixo do AP1,,,2.4,-47,48.0,6,11,27,,1,1,False,,Nenhum,Nenhum,False,True,,,,
I-34,I,1o,Janela/Bebedouro,,,2.4,-58,37.0,6,11,10,,8,8,False,,Nenhum,Nenhum,False,True,,,,
I-35,I,1o,Escada,,,2.4,-59,36.0,1,11,40,,9,9,False,,Paredes,Paredes,False,False,,,,
I-36,I,Terreo,Fundo do Terreo,,,2.4,-52,43.0,6,11,34,,4,4,False,,Nenhum,Nenhum,False,True,,,,
I-37,I,Terreo,Abaixo do AP2,,,2.4,-46,49.0,6,11,25,,2,2,False,,Nenhum,Nenhum,False,True,,,,
I-38,I,Terreo,Abaixo do AP1,,,2.4,-36,59.0,6,11,0,,1,1,False,,Nenhum,Nenhum,False,True,,,,
I-39,I,Terreo,Escada,,,2.4,-55,40.0,1,6,50,,6,6,False,,Paredes,Paredes,False,False,,,,
I-40,I,Terreo,Entrada,,,2.4,-59,36.0,1,11,52,,9,9,False,,Portoes de metal,Portoes de metal,False,False,,,,
I-41,I,Subsolo,Entrada/Bebedouro,,,2.4,-45,50.0,1,1,100,,2,2,False,,Nenhum,Nenhum,False,True,,,,
I-42,I,Subsolo,Abaixo do AP1,,,2.4,-38,57.0,1,11,28,,1,1,False,,Nenhum,Nenhum,False,True,,,,
I-43,I,Subsolo,Abaixo do AP2,,,2.4,-28,67.0,6,11,33,,1,0,True,"d registrado como 0 m (sob o AP); tratado como d0=1 m, criterio do Bloco M. Reclassificado como SEM obstaculo em 18/08/2026: a medicao foi feita diretamente sob o AP, sem nada interposto no caminho do enlace; as prateleiras de metal estao no entorno do ponto, nao entre o ponto e o AP. Anotacao original em obst_registrado.",Nenhum,Prateleiras de metal,True,True,,,,
I-44,I,Subsolo,Canto da Biblioteca,,,2.4,-56,39.0,6,11,26,,6,6,False,,Prateleiras de metal/Colunas,Prateleiras de metal/Colunas,False,False,,,,
I-45,I,Subsolo,Escada,,,2.4,-58,37.0,6,11,49,,8,8,False,,Paredes,Paredes,False,False,,,,
I-46,I,1o,Fundo do corredor,,,5.0,-52,43.0,40,44,100,,2,2,False,,Nenhum,Nenhum,False,True,,,,
I-47,I,1o,Abaixo do AP2,,,5.0,-32,63.0,40,44,100,,1,0,True,"d registrado como 0 m (sob o AP); tratado como d0=1 m, criterio do Bloco M",Nenhum,Nenhum,False,True,,,,
I-48,I,1o,Abaixo do AP1,,,5.0,-42,53.0,52,36,100,,1,1,False,,Nenhum,Nenhum,False,True,,,,
I-49,I,1o,Janela/Bebedouro,,,5.0,-40,55.0,52,60,100,,8,8,False,,Nenhum,Nenhum,False,True,,,,
I-50,I,Terreo,Fundo do Terreo,,,5.0,-53,42.0,108,100,100,,4,4,False,,Nenhum,Nenhum,False,True,,,,
I-51,I,Terreo,Abaixo do AP2,,,5.0,-55,40.0,108,132,100,,2,2,False,,Nenhum,Nenhum,False,True,,,,
I-52,I,Terreo,Abaixo do AP1,,,5.0,-37,58.0,108,132,100,,1,1,False,,Nenhum,Nenhum,False,True,,,,
I-53,I,Subsolo,Entrada/Bebedouro,,,5.0,-55,40.0,108,140,100,,2,2,False,,Nenhum,Nenhum,False,True,,,,
I-54,I,Subsolo,Abaixo do AP1,,,5.0,-57,38.0,108,140,100,,3,3,False,,Nenhum,Nenhum,False,True,,,,
I-55,I,Subsolo,Abaixo do AP2,,,5.0,-33,62.0,60,36,100,,1,0,True,"d registrado como 0 m (sob o AP); tratado como d0=1 m, criterio do Bloco M. Reclassificado como SEM obstaculo em 18/08/2026: a medicao foi feita diretamente sob o AP, sem nada interposto no caminho do enlace; as prateleiras de metal estao no entorno do ponto, nao entre o ponto e o AP. Anotacao original em obst_registrado.",Nenhum,Prateleiras de metal,True,True,,,,
I-56,I,Subsolo,Canto da Biblioteca,,,5.0,-64,31.0,124,36,100,,7,7,False,,Prateleiras de metal/Colunas,Prateleiras de metal/Colunas,False,False,,,,
