ponto_id,bloco,andar,local,x,y,banda_ghz,rssi_dbm,snr_estimado_db,canal,canal_melhor,qualidade_melhor_canal_pct,redes_vizinhas_mesmo_canal,distancia_ao_ap,distancia_registrada,distancia_normalizada,obs_campo,obstaculos,obstaculo_registrado,obstaculo_reclassificado,sem_obstaculo,throughput_tcp_mbps,throughput_udp_mbps,latencia_media_ms,perda_pacotes_pct
M-01,M,1o,,,,2.4,-60,35.0,1,6,35,,8.5,,False,,"Parede, porta",,False,False,,,,
M-02,M,1o,,,,2.4,-30,65.0,6,6,15,,1.0,,False,,Nenhum,,False,True,,,,
M-03,M,1o,,,,2.4,-33,62.0,13,13,6,,1.0,,False,,Nenhum,,False,True,,,,
M-04,M,1o,,,,2.4,-49,46.0,1,1,25,,4.0,,False,,Nenhum,,False,True,,,,
M-05,M,1o,,,,2.4,-70,25.0,6,1,46,,6.0,,False,,"Parede, porta incendio",,False,False,,,,
M-06,M,Terreo,,,,2.4,-46,49.0,1,6,23,,4.0,,False,,Parede/porta,,False,False,,,,
M-07,M,Terreo,,,,2.4,-25,70.0,1,6,0,,1.0,,False,,Nenhum,,False,True,,,,
M-08,M,Terreo,,,,2.4,-28,67.0,6,6,0,,1.0,,False,,Nenhum,,False,True,,,,
M-09,M,Terreo,,,,2.4,-37,58.0,1,6,0,,3.0,,False,,Nenhum,,False,True,,,,
M-10,M,Terreo,,,,2.4,-58,37.0,1,11,42,,6.0,,False,,Parede/porta metalica,,False,False,,,,
M-11,M,Terreo,,,,2.4,-37,58.0,1,11,8,,2.0,,False,,Nenhum,,False,True,,,,
M-12,M,Subsolo,,,,2.4,-46,49.0,11,6,9,,4.0,,False,,Parede/porta,,False,False,,,,
M-13,M,Subsolo,,,,2.4,-40,55.0,1,11,29,,1.0,,False,,Nenhum,,False,True,,,,
M-14,M,Subsolo,,,,2.4,-44,51.0,1,11,50,,1.0,,False,,Nenhum,,False,True,,,,
M-15,M,Subsolo,,,,2.4,-60,35.0,11,6,4,,15.0,,False,,Nenhum,,False,True,,,,
M-16,M,Subsolo,,,,2.4,-68,27.0,1,6,48,,18.0,,False,,Parede/porta metalica,,False,False,,,,
M-17,M,Subsolo,,,,2.4,-37,58.0,1,6,7,,3.0,,False,,Nenhum,,False,True,,,,
M-18,M,1o,,,,5.0,-62,33.0,36,100,100,,4.0,,False,,Parede/porta,,False,False,,,,
M-19,M,1o,,,,5.0,-59,36.0,52,100,100,,1.0,,False,,Nenhum,,False,True,,,,
M-20,M,1o,,,,5.0,-58,37.0,157,140,100,,1.0,,False,,Nenhum,,False,True,,,,
M-21,M,1o,,,,5.0,-52,43.0,132,108,100,,3.0,,False,,Nenhum,,False,True,,,,
M-23,M,Terreo,,,,5.0,-52,43.0,157,100,32,,4.0,,False,,Parede/porta,,False,False,,,,
M-24,M,Terreo,,,,5.0,-51,44.0,116,124,100,,1.0,,False,,Nenhum,,False,True,,,,
M-25,M,Terreo,,,,5.0,-53,42.0,116,52,100,,1.0,,False,,Nenhum,,False,True,,,,
M-26,M,Terreo,,,,5.0,-53,42.0,157,116,100,,3.0,,False,,Nenhum,,False,True,,,,
M-27,M,Subsolo,,,,5.0,-46,49.0,52,116,100,,4.0,,False,,Parede/porta,,False,False,,,,
M-28,M,Subsolo,,,,5.0,-59,36.0,52,100,100,,1.0,,False,,Nenhum,,False,True,,,,
M-29,M,Subsolo,,,,5.0,-38,57.0,52,116,100,,1.0,,False,,Nenhum,,False,True,,,,
M-30,M,Subsolo,,,,5.0,-50,45.0,52,116,100,,3.0,,False,,Nenhum,,False,True,,,,
