predio,pavimento,local,leituras,dist_campo_m,x_m,y_m
I,-1,Canto da Biblioteca,"44, 56","6, 7",,
I,-1,Entrada/Bebedouro,"41, 53",2,,
I,-1,Escada,45,8,,
I,0,Entrada,40,9,,
I,0,Escada,39,6,,
I,0,Fundo do Terreo,"36, 50",4,,
I,1,Escada,35,9,,
I,1,Fundo do corredor,"31, 46","2, 6",,
I,1,Janela/Bebedouro,"34, 49",8,,
M,-1,Entrada,"15, 30","3, 6",,
M,-1,Escada,16,8,,
M,-1,Meio (entre os dois APs),17,3,,
M,-1,Sala ao lado do AP2,27,4,,
M,-1,Sala entre AP1 e AP2,12,4,,
M,0,Entrada,"9, 26",3,,
M,0,Escada,10,6,,
M,0,Meio (entre os dois APs),11,2,,
M,0,Sala entre AP1 e AP2,"6, 23",4,,
M,1,Escada,22,8,,
M,1,Escada de incendio,5,6,,
M,1,Fundo da M102,1,8.5,,
M,1,Janela/bebedouro,"4, 21","3, 4",,
M,1,Sala entre AP1 e AP2,18,4,,
